Date,Region,Latitude,Longitude,Property_Type,Price,Rental_Yield_Pct,Demand_Score,Supply_Score,Economic_Indicator
2024-04-11,Industrial,40.77776239763906,-74.19362195630622,Commercial,1852674.05,7.54,22,53,0.44
2023-09-10,Tech Park,40.639496603856436,-74.02075243759307,Studio,415393.74,6.01,42,92,0.46
2024-11-17,Industrial,40.78593312396585,-74.24279241312152,Villa,966482.71,6.0,64,3,0.54
2023-12-06,Downtown,40.729449237142425,-74.01801277379838,Studio,436873.78,3.59,8,47,0.48
2024-01-23,Coastal,40.59541099092336,-73.94221302173489,Villa,1345041.47,4.82,4,54,0.28
2024-03-31,Industrial,40.7791220718353,-74.1852306684001,Villa,976451.35,6.29,82,53,0.34
2024-05-07,Suburbs,40.75192832958061,-74.09161795788805,Apartment,412046.1,5.22,89,71,0.31
2024-02-23,Coastal,40.57266435722227,-73.9372738978331,Apartment,591063.16,5.35,41,28,0.52
2023-02-17,Downtown,40.68263693420905,-73.9840070604843,Commercial,2668099.51,3.52,99,44,0.58
2024-10-04,Downtown,40.71873122768658,-73.9994630955206,Apartment,743916.08,3.63,14,27,0.58
2024-04-05,Downtown,40.70050248481166,-73.99934215119022,Commercial,3026114.12,3.88,52,96,0.42
2024-06-08,Tech Park,40.658478861395814,-74.07837192926031,Studio,366852.13,6.97,28,66,0.58
2024-10-07,Suburbs,40.76002896663049,-74.07683626694136,Studio,255696.47,5.78,30,62,0.64
2024-01-20,Industrial,40.80351106587909,-74.18551833496949,Apartment,389769.41,6.06,70,72,0.4
2023-08-22,Coastal,40.57169258515899,-73.95841290645531,Studio,364023.64,4.74,32,96,0.29
2024-01-21,Downtown,40.73807481061533,-74.02292034032911,Commercial,2753253.19,3.57,81,59,0.4
2023-08-13,Downtown,40.71151243898398,-73.9991019532991,Apartment,706896.81,3.83,44,90,0.61
2024-09-01,Coastal,40.61503866065374,-73.93544333771669,Villa,1463425.18,5.61,16,97,0.46
2023-12-15,Downtown,40.69298927349739,-74.01732595459205,Commercial,3511981.49,4.35,19,90,0.34
2024-07-04,Industrial,40.801371259496115,-74.20286924459262,Villa,1019232.36,7.34,57,89,0.59
2023-12-12,Suburbs,40.76627034434739,-74.12461728632867,Studio,306824.94,6.9,2,1,0.53
